Respondent ID,Q2. Role,Q3. Student Count,Q4. Current Method,Q5. Satisfaction,Q6_Cost,Q6_Scenarios,Q6_Setup,Q6_Access,Q6_Engagement,Q6_Outcomes,Q6_Align,Q6_Schedule,Q6_Workload,Q6_PassRates,Q7_JobReadiness,Q7_PassRates,Q7_CostReduce,Q7_InstructorTime,Q7_Satisfaction,Q7_NREMT,Q7_FeedbackTools,Q8_Features_Scenarios,Q9_Features_Practice,Q10_Features_Payment,Q11_Features_Hardware,Q12. Adopt Likely,Q13. Biggest Barrier,Q14. Experiment Likely
118970021411,Director,120,"Mannequin, Scenario (students), Scenario (volunteer), Observing Real",4,5,3,5,2,3,3,4,4,5,3,4,4,5,5,3,4,3,Many varied scenarios,"Independent, self-directed",One-time purchase,"Premium, high-spec",3,Cost...,3
118970021497,Program coordinator,300,"Mannequin, Peer Teaching, Team Drills, Observing Real",4,5,4,5,4,4,4,3,5,4,4,5,5,5,4,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",4,Technical setup...,3
118984373611,Education coordinator,50,"Mannequin, Scenario (students), Peer Teaching, Team Drills",4,5,3,4,3,3,4,5,4,4,4,5,5,4,4,4,5,4,Many varied scenarios,"Independent, self-directed",Subscription,"Premium, high-spec",3,Cost...,2
118973655275,Firefighter/Paramedic,45,"Mannequin, Scenario (students), Peer Teaching, Team Drills",3,4,5,5,5,4,4,3,5,5,3,4,4,3,3,4,4,3,Many varied scenarios,Instructor-led guided,One-time purchase,Basic/entry-level,3,Technical setup...,3
SYNTH_01,Director,150,"Mannequin, Peer Teaching",2,5,2,4,4,3,3,3,4,4,2,3,3,5,5,3,3,2,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,2,Cost...,2
SYNTH_02,Dean,400,Mannequin Training,3,5,3,3,5,3,3,2,5,4,3,4,4,5,4,4,3,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,3,Cost...,3
SYNTH_03,Program coordinator,80,"Mannequin, Observing Real",2,5,4,4,4,4,3,3,4,5,2,3,3,5,5,3,3,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,2,Cost...,2
SYNTH_04,Director,220,"Mannequin, Peer Teaching, Team Drills",3,4,3,5,4,3,3,4,5,5,3,4,4,5,5,4,4,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,3,Technical setup...,3
SYNTH_05,Education coordinator,300,"Mannequin, Scenario (students)",4,5,4,4,4,4,4,3,4,4,4,5,5,5,5,5,4,4,Many varied scenarios,"Independent, self-directed",One-time purchase,"Premium, high-spec",3,Cost...,3
SYNTH_06,Director,90,Mannequin Training,2,5,3,3,5,2,2,2,5,4,1,3,2,5,5,3,2,2,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,1,Cost...,1
SYNTH_07,Dean,550,"Mannequin, Team Drills",3,5,4,5,5,4,4,3,5,5,3,4,4,5,5,4,4,3,Many varied scenarios,"Independent, self-directed",One-time purchase,"Premium, high-spec",3,Cost...,3
SYNTH_08,Program coordinator,200,"Mannequin, Scenario (students)",3,4,4,5,4,4,3,3,5,5,3,4,4,4,4,4,4,3,Many varied scenarios,Instructor-led guided,One-time purchase,Basic/entry-level,2,Technical setup...,2
SYNTH_09,Director,130,Mannequin Training,3,5,3,4,4,3,3,3,4,4,2,3,3,5,5,3,3,2,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,2,Cost...,2
SYNTH_10,Dean,330,"Mannequin, Observing Real",4,5,3,3,5,3,3,2,5,4,3,4,4,5,4,4,3,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,3,Cost...,3
SYNTH_11,Program coordinator,60,Mannequin Training,2,5,4,4,4,4,3,3,4,5,2,3,3,5,5,3,3,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,2,Cost...,2
SYNTH_12,Director,190,"Mannequin, Peer Teaching",3,4,3,5,4,3,3,4,5,5,3,4,4,5,5,4,4,3,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,3,Technical setup...,3
SYNTH_13,Education coordinator,280,Mannequin Training,4,5,4,4,4,4,4,3,4,4,4,5,5,5,5,5,4,4,Many varied scenarios,"Independent, self-directed",One-time purchase,"Premium, high-spec",3,Cost...,3
SYNTH_14,Director,70,"Mannequin, Team Drills",2,5,3,3,5,2,2,2,5,4,1,3,2,5,5,3,2,2,Many varied scenarios,"Independent, self-directed",One-time purchase,Basic/entry-level,1,Cost...,1
SYNTH_15,Dean,480,"Mannequin, Scenario (students)",3,5,4,5,5,4,4,3,5,5,3,4,4,5,5,4,4,3,Many varied scenarios,"Independent, self-directed",One-time purchase,"Premium, high-spec",3,Cost...,3
SYNTH_16,Dean,800,"Mannequin, Team Drills, Observing Real",4,2,5,2,3,5,5,5,3,3,5,5,5,2,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_17,Program Head,600,"Mannequin, Scenario (students)",3,3,5,3,4,5,5,4,4,3,5,5,5,3,4,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Faculty... acceptance,5
SYNTH_18,Director,1200,"Mannequin, Team Drills",4,2,4,2,3,4,5,5,3,2,5,5,5,2,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_19,Dean,750,"Mannequin, Observing Real",3,3,5,3,4,5,5,4,4,3,5,5,5,3,4,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Faculty... acceptance,3
SYNTH_20,Program Head,900,"Mannequin, Peer Teaching",4,1,5,2,2,5,5,5,2,2,5,5,5,1,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_21,Director,1100,"Mannequin, Team Drills",4,2,4,2,3,4,5,5,3,2,5,5,5,2,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_22,Dean,620,"Mannequin, Scenario (students)",3,3,5,3,4,5,5,4,4,3,5,5,5,3,4,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Faculty... acceptance,3
SYNTH_23,Program Head,850,"Mannequin, Team Drills",4,1,5,2,2,5,5,5,2,2,5,5,5,1,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_24,Director,710,"Mannequin, Observing Real",3,3,5,3,4,5,5,4,4,3,5,5,5,3,4,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Faculty... acceptance,3
SYNTH_25,Dean,950,"Mannequin, Peer Teaching",4,1,5,2,2,5,5,5,2,2,5,5,5,1,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Content and realism...,5
SYNTH_26,Program Head,1050,"Mannequin, Team Drills",4,2,4,2,3,4,5,5,3,2,5,5,5,2,3,5,5,5,Few highly detailed,Instructor-led guided,Subscription,"Premium, high-spec",5,Faculty... acceptance,5
